Engine,Subcategory
HeyGen,Video generator
HeyGen,Presentation generator
Heygen,Translation support
Synthesia,Video generator
Synthesia,Presentation generator
Synthesia,Translation support
Runway,Video generator
DALL-E free,Image generator 
Midjourney,Image generator
Leonardo AI,Image generator
ChatGPT,AI-chatbots
Claude,AI-chatbots
Claude,Lesson plan generator
Gemini,AI-chatbots
Mistral,AI-chatbots
Perplexity,AI-chatbots
ElevenLabs,Speech support
Copilot,AI-chatbots
DeepSeek,AI-chatbots
Diffit,Adapting texts
Diffit,Generating exercises
Twee,Generating exercises
Visme,Presentation generator
Gamma,Presentation generator
Prezi,Presentation generator
SlidesAI,Presentation generator 
PopAI,Presentation generator 
Presentations AI,Presentation generator 
SlidesGo,Presentation generator 
Ideogram AI,Image generator
DALL-E 3,Image generator
OpenArt AI,Image generator
Yeri AI,Image generator
FLUX,Image generator
Pika,Video generator
Vivago AI,Video generator
EaseMate AI,Video generator 
PixVerse,Video generator
Kira,Adapting texts
Kira,Translation support
LessonUp,Adapting texts
LessonUp,Translation support
SchoolAI,Adapting texts
Varsity Tutors,Adapting texts
Flint,Adapting texts
CoGrader,Adapting texts
Knowt,Adapting texts
Teacher Quill,Adapting texts
Blueye,Adapting texts
TeachTools,Generating exercises
LessonOrca,Generating exercises
Worksheet Wizard,Generating exercises
Quizgecko,Generating exercises
WorksheetZone,Generating exercises
StudyGlenAI,Generating exercises
Grammarly,Writing support
DeepL,Writing support
DeepL, Translation support
QuillBot,Writing support
QuillBot, Translation support
LanguageTool,Writing support
Paperpal,Writing support
TalkPal AI,Speech support
Reverso,Translation support
PI,Speech support
